상세주소,Latitude,Longitude,사용기관,사용장소,state,district,road,detail1,detail2,,종류,road2
서울특별시 종로구 자하문로 33-5,37.578819,126.9710298,여성가족부,조우,서울특별시,종로구,자하문로,12175,조우,,양식,통인동
서울특별시 종로구 자하문로 125 48,37.5870598,126.9693777,여성가족부,지화자 청운점,서울특별시,종로구,자하문로,125,지화자 청운점,,한식,청운동
서울특별시 종로구 자하문로10길 36,37.5792124,126.9734744,여성가족부,더솔키친,서울특별시,종로구,자하문로10길,36,더솔키친,,양식,통의동
서울특별시 종로구 자하문로10길 36,37.5792124,126.9734744,여성가족부,더솔키친,서울특별시,종로구,자하문로10길,36,더솔키친,,양식,통의동
서울특별시 종로구 자하문로5길 19,37.5775672,126.9707957,여성가족부,마지,서울특별시,종로구,자하문로5길,19,마지,,한식,체부동
서울특별시 종로구 자하문로6길 11-36,37.5786172,126.9725961,여성가족부,가스트로 통,서울특별시,종로구,자하문로6길,11-36,가스트로 통,,양식,통의동
서울특별시 종로구 자하문로8길 9,37.5787299,126.9720862,여성가족부,곰솔,서울특별시,종로구,자하문로8길,9,곰솔,,한식,통의동
서울특별시 종로구 창덕궁1길 2,37.5794068,126.9891157,여성가족부,용수산,서울특별시,종로구,창덕궁1길,2,용수산,,한식,원서동
서울특별시 종로구 창덕궁1길 2,37.5794068,126.9891157,여성가족부,용수산,서울특별시,종로구,창덕궁1길,2,용수산,,한식,원서동
서울특별시 종로구 창덕궁1길 2,37.5794068,126.9891157,여성가족부,용수산,서울특별시,종로구,창덕궁1길,2,용수산,,한식,원서동
서울특별시 종로구 창덕궁1길 2,37.5794068,126.9891157,여성가족부,용수산,서울특별시,종로구,창덕궁1길,2,용수산,,한식,원서동
서울특별시 종로구 창덕궁1길 2,37.5794068,126.9891157,여성가족부,용수산,서울특별시,종로구,창덕궁1길,2,용수산,,한식,원서동
서울특별시 중구 청계천로 8프리미어플레이스,37.568629,126.9778655,여성가족부,한미리 광화문점,서울특별시,중구,청계천로,8프리미어플레이스,한미리 광화문,,한식,무교동
서울특별시 중구 청계천로 8프리미어플레이스,37.568629,126.9778655,여성가족부,한미리 광화문점,서울특별시,중구,청계천로,8프리미어플레이스,한미리 광화문점,,한식,무교동
서울특별시 중구 청계천로 8프리미어플레이스,37.568629,126.9778655,여성가족부,한미리 광화문점,서울특별시,중구,청계천로,8프리미어플레이스,한미리 광화문점,,한식,무교동
서울특별시 중구 통일로 78,37.5625549,126.9697425,여성가족부,퍼스트플로어,서울특별시,중구,통일로,78,퍼스트플로어,,양식,순화동
서울특별시 종로구 필운대로 35-16,37.5791725,126.9682863,여성가족부,선인재,서울특별시,종로구,필운대로,35-16,선인재,,한식,누하동
서울특별시 용산구 한강대로17길 11,37.5262103,126.9640496,여성가족부,푸주옥설렁탕,서울특별시,용산구,한강대로17길,11,푸주옥설렁탕,,한식,한강로3가
서울특별시 종로구 효자로13길 54,37.5820922,126.9727623,여성가족부,비스트로친친,서울특별시,종로구,효자로13길,54,비스트로친친,,양식,청운동
서울특별시 종로구 경희궁2길 12,37.572816,126.9714079,여성가족부,아시아아시아,서울특별시,종로구,경희궁2길,12,아시아아시아,,기타,내수동
서울특별시 종로구 경희궁2길 12,37.572816,126.9714079,여성가족부,아시아아시아,서울특별시,종로구,경희궁2길,12,아시아아시아,,기타,내수동
서울특별시 종로구 경희궁2길 12,37.572816,126.9714079,여성가족부,아시아아시아,서울특별시,종로구,경희궁2길,12,아시아아시아,,기타,내수동
서울특별시 종로구 대명1길 18,37.5828103,127.0004687,여성가족부,진아춘,서울특별시,종로구,대명1길,18,진아춘,,중식,명륜4가
서울특별시 중구 덕수궁길 116-1,37.5676468,126.9740022,여성가족부,콩두,서울특별시,중구,덕수궁길,116-1,콩두,,한식,정동
서울특별시 종로구 경희궁1길 35 M빌딩 2층,37.5726878,126.9690052,여성가족부,테라스222,서울특별시,종로구,경희궁1길,35,테라스222,,양식,신문로2가
서울특별시 종로구 경희궁길 4 목영빌딩,37.5705472,126.9721432,여성가족부,어부가,서울특별시,종로구,경희궁길,4,어부가,,일식,신문로1가
서울특별시 종로구 대명1길 24,37.5825341,127.0006196,여성가족부,들풀,서울특별시,종로구,대명1길,24,들풀,,한식,혜화동
서울특별시 종로구 사직로 127-14,37.57619,126.9731242,여성가족부,에코밥상,서울특별시,종로구,사직로,127-14,에코밥상,,한식,적선동
서울특별시 종로구 사직로8길 34,37.5732644,126.9719961,여성가족부,아일(Ah1),서울특별시,종로구,사직로8길,34,아일(Ah1),,기타,내수동
서울특별시 종로구 사직로8길 11,37.5750259,126.9701356,여성가족부,웨스트코너,서울특별시,종로구,사직로8길,11,웨스트코너,,양식,필운동
서울특별시 종로구 새문안로3길 36,37.5733414,126.9732901,여성가족부,소문,서울특별시,종로구,새문안로3길,36,소문,,한식,내수동
서울특별시 강남구 언주로 123,37.4869126,127.0489647,여성가족부,매드포갈릭 도곡점,서울특별시,강남구,언주로,123,매드포갈릭 도곡점,,양식,도곡동
서울특별시 종로구 새문안로5가길 28,37.5744107,126.9735709,여성가족부,순남시래기 광화문점,서울특별시,종로구,새문안로5가길,28,순남시래기 광화문점,,한식,적선동
서울특별시 종로구 새문안로5길 37,37.5736116,126.9742022,여성가족부,금강산,서울특별시,종로구,새문안로5길,37,금강산,,한식,도렴동
