호선,역명,상세주소 ,시,구,동,X좌표,Y좌표
SU,월곶,경기도 시흥시 월곶동,경기도,시흥시,월곶동,37.391769,126.742699
SU,소래포구,인천광역시 남동구 논현동,인천광역시,남동구,논현동,37.40095,126.733522
SU,인천논현,인천광역시 남동구 논현동,인천광역시,남동구,논현동,37.400614,126.722478
SU,남동인더스파크,인천광역시 남동구 고잔동,인천광역시,남동구,고잔동,37.407722,126.695216
SU,원인재,인천광역시 연수구 연수동,인천광역시,연수구,연수동,37.412603,126.687389
SU,연수,인천광역시 연수구 연수동,인천광역시,연수구,연수동,37.417804,126.67894
SU,오이도,경기도 시흥시 정왕동,경기도,시흥시,정왕동,37.362357,126.738714
SU,달월,경기도 시흥시 월곶동,경기도,시흥시,월곶동,37.379681,126.745177
SU,호구포,인천광역시 남동구 논현동,인천광역시,남동구,논현동,37.401637,126.708627
SU,송도,인천광역시 연수구 옥련동,인천광역시,연수구,옥련동,37.428514,126.657772
SU,인하대,인천광역시 미추홀구 용현동?,인천광역시,미추홀구,용현동?,37.448493,126.649619
SU,숭의,인천광역시 미추홀구 용현동,인천광역시,미추홀구,용현동,37.460789,126.638297
SU,신포,인천광역시 중구 사동,인천광역시,중구,사동,37.46874,126.623853
SU,인천,인천광역시 중구 북성동1가,인천광역시,중구,북성동1가,37.476691,126.616936
U,발곡,경기도 의정부시 신곡동,경기도,의정부시,신곡동,37.727048,127.052803
U,회룡,경기도 의정부시 호원동?,경기도,의정부시,호원동?,37.724846,127.046895
U,범골,경기도 의정부시 호원2동,경기도,의정부시,호원2동,37.728755,127.04353
U,경전철의정부,경기도 의정부시 의정부2동,경기도,의정부시,의정부2동,37.737202,127.043257
U,의정부시청,경기도 의정부시 의정부2동,경기도,의정부시,의정부2동,37.739256,127.034781
U,흥선,경기도 의정부시 가능동,경기도,의정부시,가능동,37.743302,127.037023
U,의정부중앙,경기도 의정부시 의정부1동,경기도,의정부시,의정부1동,37.743676,127.049565
U,동오,경기도 의정부시 신곡동,경기도,의정부시,신곡동,37.745271,127.056947
U,새말,경기도 의정부시 신곡동,경기도,의정부시,신곡동,37.748885,127.06362
U,효자,경기도 의정부시 신곡동,경기도,의정부시,신곡동,37.754025,127.076902
U,곤제,경기도 의정부시 용현동,경기도,의정부시,용현동,37.750471,127.083715
U,어룡,경기도 의정부시 용현동,경기도,의정부시,용현동,37.742802,127.085035
U,탑석,경기도 의정부시 용현동,경기도,의정부시,용현동,37.733579,127.088704
U,경기도청북부청사,경기도 의정부시 신곡동,경기도,의정부시,신곡동,37.75059,127.071495
U,송산,경기도 의정부시 용현동,경기도,의정부시,용현동,37.737279,127.087159
UI,북한산우이,서울특별시 강북구 우이동,서울특별시,강북구,우이동,,
UI,솔밭공원,서울특별시 도봉구 쌍문1동,서울특별시,도봉구,쌍문1동,,
UI,419민주묘지,서울특별시 강북구 수유동,서울특별시,강북구,수유동,,
UI,가오리,서울특별시 강북구 수유2동,서울특별시,강북구,수유2동,,
UI,화계,서울특별시 강북구 수유1동,서울특별시,강북구,수유1동,,
UI,삼양,서울특별시 강북구 미아동,서울특별시,강북구,미아동,,
UI,삼양사거리,서울특별시 강북구 미아동,서울특별시,강북구,미아동,,
UI,솔샘,서울특별시 강북구 미아동,서울특별시,강북구,미아동,,
UI,북한산보국문,서울특별시 성북구 정릉4동,서울특별시,성북구,정릉4동,,
UI,정릉,서울특별시 성북구 정릉1동,서울특별시,성북구,정릉1동,,
UI,성신여대입구,서울특별시 성북구 동선동4가,서울특별시,성북구,동선동4가,37.592624,127.016403
UI,보문,서울특별시 성북구 보문동1가,서울특별시,성북구,보문동1가,37.585286,127.019381
UI,신설동,서울특별시 동대문구 신설동,서울특별시,동대문구,신설동,37.575297,127.025087
A,청라국제도시,인천광역시 서구 에코로 163 경서동,인천광역시,서구,경서동,37.555878,126.625327
A,김포공항,서울특별시 강서구 하늘길 지하 77 방화동,서울특별시,강서구,방화동,37.562434,126.801058
A,검암,인천광역시 서구 검바위로 26  검암동,인천광역시,서구,검암동,37.569104,126.673728
A,운서,인천광역시 중구 흰바위로59번길 26 운서동,인천광역시,중구,운서동,37.492904,126.49379
A,인천국제공항,인천광역시 중구 공항로 271 운서동,인천광역시,중구,운서동,37.447464,126.452508
A,공덕,서울특별시 마포구 마포대로 지하 92 도화동,서울특별시,마포구,도화동,37.544018,126.951592
A,계양,인천광역시 계양구 다남로 24 귤현동,인천광역시,계양구,귤현동,37.571462,126.735637
A,공항화물청사,인천광역시 중구 공항동로135번길 86 운서동,인천광역시,중구,운서동,37.458366,126.476241
A,영종,인천광역시 중구 백운로414번길 75 운복동,인천광역시,중구,운복동,37.511466,126.5237
A,디지털미디어시티,서울특별시 마포구 성암로 지하 184 상암동,서울특별시,마포구,상암동,37.576646,126.900984

