번호,음식
647,잉어찜
648,잉어회
649,자리돔구이
650,자리돔물회
651,자반
652,작설차
653,잔치국수
654,잡누름적
655,잡산적
656,잡채
657,잣
658,잣강정
659,잣박산
660,잣죽
661,장국밥
662,장김치
663,장떡
664,장산적
665,장아찌
666,장어구이
667,장조림
668,재첩국
669,적
670,전
671,전골
672,전복
673,전복죽
674,전복찜
675,전복초
676,전복회
677,생선전
678,전주비빔밥
679,절편
680,젓갈
681,젓갈
682,젓국찌개
683,정과
685,정식
686,제육
687,보쌈
688,제육볶음
689,조개
690,조개국수
691,조개젓
692,모시조개탕
693,조기
694,조기구이
695,조기매운탕
696,조기젓
697,조기조림
698,조란
699,조롱떡국
700,조룀
701,족발
702,족탕
703,족편
704,주꾸미
705,주물럭구이
706,주악
707,죽
708,죽순
709,죽순볶음
710,죽순찜
711,죽순채
712,죽순회
713,죽염
714,증편
715,지단
716,진달래술
717,진달래화전
718,진달래화채
719,짠무
720,쪽파김치
721,찌개
722,찐만두
723,찜
724,찜닭
725,반찬
726,찰밥
727,수수부꾸미 
728,참기름
729,참깨
730,참나물
731,참외
732,찹쌀
733,찹쌀부꾸미
734,창란젓
735,채소죽
736,채소튀김
737,천엽회
738,청각
739,청국장찌개
740,청어구이
741,청주
742,청포묵
743,초간장
744,초고추장
745,초교탕
746,총각김치
747,추어탕
748,취나물
749,칠보편포
750,칡차
751,칼국수
752,코다리찜
753,콩
754,콩국
755,콩국수
756,콩나물
757,콩나물국
758,콩나물무침
759,콩나물밥
760,콩나물잡채
761,콩찰떡
762,콩밥
763,콩비지찌개
764,콩잎김치
765,콩자반
766,콩죽
767,콩팥구이
768,탕
769,탕평채
770,토란국
771,토란줄기찜
772,토장국
773,토하젓
774,톳나물
775,통닭구이
776,통배추김치
777,튀각
778,튀밥
779,파
780,파강회
781,파김치
782,파래
783,파래무침
784,파래된장국
785,파전
786,파채
787,팟국
788,팥
789,시루떡
790,팥밥
791,팥죽
792,패주구이
793,편수
794,편육
795,편포
796,평양냉면
797,포
798,통배추김치
799,표고버섯
800,표고전
801,풋고추
802,한과
803,한정식
804,한치물회
805,한치회덮밥
806,함흥냉면
807,합자죽
808,해물겨자채
809,해물된장찌개
810,해물전
811,해물전골
812,해물파전
813,해삼
814,해삼초회
815,해삼탕
816,해장국
817,해파리냉채
818,헛제삿밥
819,호두
820,호두조림
821,호박
822,호박고지떡
823,호박김치
824,호박나물
825,호박범벅
826,호박볶음
827,애호박찜
828,호박잎쌈
829,호박전
830,호박죽
831,홍어
832,홍어찜
833,홍어회
834,홍합
835,홍합미역국
836,홍합죽
837,홍합초
838,화양적
839,화전
840,화채
841,황태구이
842,회
843,회냉면
844,회덮밥
845,흑임자죽
846,흰떡
847,흰죽
