호선,역명,시,구,동,X좌표,Y좌표,,,,
6,독바위,서울특별시,은평구,불광동,37.618456,126.933031,,,,
6,연신내,서울특별시,은평구,갈현동,37.619001,126.921008,,,,
6,구산,서울특별시,은평구,구산동,37.611377,126.91727,,,,
6,새절,서울특별시,은평구,신사동,37.591148,126.913629,,,,
6,증산,서울특별시,은평구,증산동,37.583876,126.909645,,,,
6,디지털미디어시티,서울특별시,은평구,증산동,37.576646,126.900984,,,,
6,월드컵경기장,서울특별시,마포구,성산동,37.569532,126.899298,,,,
6,마포구청,서울특별시,마포구,성산동,37.563515,126.903343,,,,
6,망원,서울특별시,마포구,망원동,37.556094,126.910052,,,,
6,합정,서울특별시,마포구,합정동,37.549463,126.913739,,,,
6,상수,서울특별시,마포구,상수동,37.547716,126.922852,,,,
6,광흥창,서울특별시,마포구,창전동,37.547456,126.931993,,,,
6,대흥,서울특별시,마포구,대흥동,37.547771,126.942069,,,,
6,효창공원앞,서울특별시,용산구,효창동,37.539261,126.961351,,,,
6,삼각지,서울특별시,용산구,한강로1가,37.534777,126.97311,,,,
6,녹사평,서울특별시,용산구,용산동4가,37.534675,126.986695,,,,
6,이태원,서울특별시,용산구,이태원동,37.534488,126.994302,,,,
6,한강진,서울특별시,용산구,한남동,37.539631,127.001725,,,,
6,버티고개,서울특별시,중구,신당동,37.548013,127.007055,,,,
6,약수,서울특별시,중구,신당동,37.55434,127.010655,,,,
6,신당,서울특별시,중구,흥인동,37.565972,127.01782,,,,
6,동묘앞,서울특별시,종로구,숭인동,37.572627,127.016429,,,,
6,창신,서울특별시,종로구,창신동,37.579661,127.015241,,,,
6,보문,서울특별시,성북구,보문동1가,37.585286,127.019381,,,,
6,안암,서울특별시,성북구,안암동5가,37.586272,127.029005,,,,
6,고려대,서울특별시,성북구,종암동,37.590508,127.036296,,,,
6,월곡,서울특별시,성북구,하월곡동,37.601948,127.041518,,,,
6,상월곡,서울특별시,성북구,상월곡동,37.606377,127.048491,,,,
6,돌곶이,서울특별시,성북구,석관동,37.610537,127.056431,,,,
6,석계,서울특별시,노원구,월계동,37.614805,127.065851,,,,
6,화랑대,서울특별시,노원구,공릉동,37.620064,127.084689,,,,
6,봉화산,서울특별시,중랑구,신내동,37.617283,127.091401,,,,
7,도봉산,서울특별시,도봉구,도봉동,37.689313,127.046222,,,,
7,수락산,서울특별시,노원구,상계동,37.67785,127.055315,,,,
7,마들,서울특별시,노원구,상계동,37.66494,127.057675,,,,
7,노원,서울특별시,노원구,상계동,37.655128,127.061368,,,,
7,중계,서울특별시,노원구,중계동,37.644583,127.064303,,,,
7,하계,서울특별시,노원구,하계동,37.636352,127.06799,,,,
7,공릉,서울특별시,노원구,공릉동,37.625742,127.072896,,,,
7,태릉입구 ,서울특별시,노원구,공릉동,37.617983,127.07512,,,,
7,먹골,서울특별시,중랑구,묵동,37.610637,127.077725,,,,
7,중화,서울특별시,중랑구,중화동,37.602545,127.079264,,,,
7,상봉,서울특별시,중랑구,상봉동,37.596362,127.085032,,,,
7,면목,서울특별시,중랑구,면목동,37.588579,127.087503,,,,
7,사가정,서울특별시,중랑구,면목동,37.580894,127.088478,,,,
7,용마산,서울특별시,중랑구,면목동,37.573647,127.086727,,,,
7,중곡,서울특별시,광진구,중곡동,37.565923,127.08432,,,,
7,어린이대공원,서울특별시,광진구,화양동,37.548014,127.074658,,,,
